Nombre: Sonda Facultad de Educación, IP: 5.5.5.5, Coordenadas: -16.317670,  28.481746,ULL, 
 
Servicio, Enlace, Puerto, Protocolo, Nivel de Acceso 
 Web institucional, www.ull.es, 80, http, Internet, 
 Docencia Virtual, campusvirtual.ull.es, 443, https, Internet, 
 Sede electrónica, sede.ull.es, 443, https, Internet, 
 Seguridad Integral en el Puesto de Trabajo,  None ,  None ,  None ,ULL, 
 Servicio de provisión y renovación del puesto de trabajo,  None ,  None ,  None ,ULL, 
 Soporte a aulas de informática de libre acceso,  None ,  None ,  None ,ULL, 
 Soporte a aulas de Informática de uso docente,  None ,  None ,  None ,ULL, 
 Soporte a Aulas multimedia,  None ,  None ,  None ,ULL, 
 Soporte a eventos especiales.,  None ,  None ,  None ,ULL, 
 Soporte a la elaboración de contenidos docentes,  None ,  None ,  None ,ULL, 
 Soporte a realización y corrección  de exámenes,  None ,  None ,  None ,ULL, 
 Supercomputación,  None ,  None ,  None ,ULL, 
 Tarjeta Universitaria Inteligente,  None ,  None ,  None ,ULL, 
 Telefonía fija,  None ,  None ,  None ,ULL, 
 Telefonía Móvil,  None ,  None ,  None ,ULL, 
 Videoconferencia. Inmersión,  None ,  None ,  None ,ULL, 
 Videoconferencia. Sala,  None ,  None ,  None ,ULL, 
 Videoconferencia. Web,  None ,  None ,  None ,ULL, 
 Espacios web colaborativos,  None ,  None ,  None ,Administracion TIC, 
 Extensión Universitaria,  None ,  None ,  None ,Administracion TIC, 
 Extensión Universitaria. Actividades Deportivas,  None ,  None ,  None ,Administracion TIC, 
 Extensión Universitaria. Bolsa de alojamiento,  None ,  None ,  None ,Administracion TIC, 
 Extensión Universitaria. Enseñanza no reglada,  None ,  None ,  None ,Administracion TIC, 
 Extensión Universitaria. Préstamo de Bicicletas,  None ,  None ,  None ,Administracion TIC, 
 Fax,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Acceso a Grado,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Acceso a Postgrado,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Actas,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Automatrícula,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Becas,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Depósito de Títulos,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Enseñanzas propias,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Gestión de Horarios,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Gestión de Postgrado,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Guías Docentes,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Movilidad internacional,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Necesidades educativas especiales,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Plan Docente,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Prácticas de empresa,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Secretaría Virtual,  None ,  None ,  None ,Administracion TIC, 
 Gestión Académica. Tésis,  None ,  None ,  None ,Administracion TIC, 
 Gestión Calidad.,  None ,  None ,  None ,Administracion TIC, 
 Gestión Calidad. Encuestas,  None ,  None ,  None ,Administracion TIC, 
 Gestión Calidad. Evaluación de la actividad docente del profesorado,  None ,  None ,  None ,Administracion TIC, 
 Gestión Calidad. Herramienta para evaluación EFQM,  None ,  None ,  None ,Administracion TIC, 
 Gestión de Certificados,  None ,  None ,  None ,Administracion TIC, 
 Gestión de credenciales,  None ,  None ,  None ,Administracion TIC, 
 Gestión de la Investigación,  None ,  None ,  None ,Administracion TIC, 
 Gestión de licencias software para docencia,  None ,  None ,  None ,Administracion TIC, 
 Gestión de Licencias software para investigación,  None ,  None ,  None ,Administracion TIC, 
 Gestión de Publicaciones,  None ,  None ,  None ,Administracion TIC, 
 Gestión Económica,  None ,  None ,  None ,Administracion TIC, 
 Gestión Económica. Contabilidad Analítica,  None ,  None ,  None ,Administracion TIC, 
 Gestión Económica. Contratación,  None ,  None ,  None ,Administracion TIC, 
 Gestión Económica. Gestión de Fondos FEDER,  None ,  None ,  None ,Administracion TIC, 
